Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000134389,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000134398,4,2,6,10,2,1,2,0,3,5,10,8,3,4,6,0,18,10,1,1,4
ENSG00000134419,0,1,1,1,1,0,1,1,1,0,4,4,1,0,1,1,1,1,0,0,1
ENSG00000134438,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
ENSG00000134440,0,5,5,4,5,1,2,0,3,0,6,2,1,2,1,4,5,3,2,1,10
ENSG00000134443,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000134444,1,2,1,0,1,0,1,0,1,0,2,8,0,0,0,0,0,1,0,0,1
ENSG00000134452,8,0,2,4,3,7,7,8,4,11,3,4,5,5,2,6,1,3,6,13,1
ENSG00000134453,3,6,2,1,3,3,4,6,0,6,4,14,0,3,3,1,4,2,1,2,3
ENSG00000134460,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
ENSG00000134461,2,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,1,1,0
ENSG00000134463,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
ENSG00000134470,5,1,0,1,0,0,3,2,1,4,0,7,0,1,3,2,8,2,4,1,1
ENSG00000134480,288,292,430,269,332,227,375,313,251,356,256,397,105,347,21,306,255,187,306,315,501
ENSG00000134489,2,2,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0
ENSG00000134490,33,22,22,108,10,17,48,14,28,3,36,5,6,16,3,28,13,36,21,25,6
ENSG00000134504,31,10,12,9,3,3,7,3,3,3,3,13,1,1,1,2,0,6,0,3,5
ENSG00000134508,13,10,8,20,2,7,10,11,14,4,24,5,13,15,6,13,12,15,16,16,7
ENSG00000134516,1,4,4,3,7,3,12,2,8,9,5,20,2,4,0,6,0,2,0,6,0
ENSG00000134531,0,1,2,0,0,0,2,6,0,1,3,6,0,8,1,0,0,1,4,0,1
ENSG00000134532,4,5,0,4,1,1,1,3,6,0,0,13,4,9,6,1,4,4,5,2,1
ENSG00000134533,22,10,23,4,2,0,10,1,2,0,1,15,5,0,4,7,7,9,1,1,18
ENSG00000134538,0,0,0,2,5,1,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0
ENSG00000134539,0,1,1,0,0,0,0,0,1,0,1,7,0,4,0,0,2,7,0,0,0
ENSG00000134545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
ENSG00000134548,1,1,2,2,1,0,2,1,1,1,1,9,0,2,0,1,1,1,2,0,2
ENSG00000134551,4,10,24,27,18,8,23,6,28,24,91,18,12,33,40,34,42,10,30,11,16
ENSG00000134569,5,8,2,2,3,3,0,3,5,7,1,10,0,4,1,1,3,6,3,1,3
ENSG00000134571,0,0,0,6,2,0,1,2,1,0,1,9,0,1,2,1,1,1,2,0,7
ENSG00000134574,48,162,196,103,127,88,71,93,80,40,2,75,24,137,28,32,253,105,80,161,198
ENSG00000134575,0,4,7,2,2,3,8,1,6,23,8,5,4,3,0,3,1,5,6,3,9
ENSG00000134588,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000134590,0,4,1,2,6,1,4,1,0,1,7,4,2,0,1,1,2,1,0,1,4
ENSG00000134594,2,4,2,4,14,2,1,7,6,1,0,2,0,8,0,1,1,5,1,0,2
ENSG00000134595,0,1,0,1,0,1,2,0,0,1,0,2,0,0,0,0,1,6,1,2,0
ENSG00000134597,3,2,5,6,4,2,3,1,2,0,3,5,5,2,1,1,5,10,1,0,3
ENSG00000134602,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0
ENSG00000134612,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134627,11,0,1,2,4,0,4,2,5,5,1,16,0,0,1,3,1,0,0,15,3
ENSG00000134640,0,2,2,3,0,0,0,1,10,9,1,11,4,2,2,1,0,4,1,1,0
ENSG00000134644,3,7,2,0,4,2,2,0,0,0,1,5,0,1,1,0,2,0,1,0,3
ENSG00000134668,3,10,0,1,3,2,4,3,1,2,0,4,0,1,1,1,4,0,1,0,0
ENSG00000134684,3,16,15,21,10,17,17,25,16,20,24,19,16,18,5,14,37,22,14,13,20
ENSG00000134686,4,9,14,1,5,2,6,6,4,8,19,8,8,8,12,4,10,9,11,3,8
ENSG00000134690,11,16,7,3,2,0,0,0,0,3,0,6,0,0,1,2,0,0,0,0,1
ENSG00000134697,2,4,7,1,2,2,3,3,2,5,12,8,4,2,1,3,4,8,5,2,5
ENSG00000134698,2,2,1,1,1,0,2,1,2,2,1,2,0,0,2,0,2,1,0,0,3
ENSG00000134709,2,3,1,1,4,0,1,0,1,2,0,11,0,2,0,2,3,2,0,0,2
ENSG00000134716,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
ENSG00000134717,2,3,2,0,1,1,2,0,2,5,3,5,0,2,0,3,2,4,1,1,2
ENSG00000134744,16,12,23,15,12,7,15,5,13,27,26,37,17,20,7,18,47,18,2,13,53
ENSG00000134748,5,10,34,27,8,6,38,10,31,45,66,27,17,30,11,23,38,29,14,13,35
ENSG00000134755,0,0,3,3,0,0,2,2,4,1,0,10,1,2,0,2,0,0,3,2,1
ENSG00000134757,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
ENSG00000134758,8,11,24,40,22,7,35,34,22,14,9,37,4,29,0,11,4,20,15,20,18
ENSG00000134759,5,9,13,1,3,5,10,14,5,8,4,12,4,5,1,1,6,5,2,4,3
ENSG00000134760,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ENSG00000134762,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
ENSG00000134765,2,3,3,24,12,8,17,9,27,4,1,25,0,20,0,10,2,12,11,15,5
ENSG00000134769,21,12,9,24,20,15,16,29,23,4,1,97,7,20,2,6,16,20,8,14,13
ENSG00000134775,54,52,64,22,19,6,23,13,20,6,18,23,6,27,7,29,43,46,19,21,36
ENSG00000134779,127,241,158,120,77,48,218,107,70,265,18,177,29,116,10,53,66,114,62,66,45
ENSG00000134780,1,3,2,1,1,0,1,1,1,2,0,10,1,1,0,0,1,0,0,0,1
ENSG00000134802,0,0,2,0,0,1,0,4,2,0,2,5,0,0,1,0,1,1,1,0,1
