Geneid,A10A,A12A,A12B,CM15,CM30,CM39,CM54,CM71,CM75,CM8,M10,M102,M108,M20,M29,M46,M49,M692,M7,M8,M94
ENSG00000000003,0,0,0,1,0,0,1,0,0,0,3,1,1,2,0,0,1,0,1,0,0
ENSG00000000005,0,2,3,1,3,1,1,1,6,3,1,3,0,6,0,4,3,9,0,1,0
ENSG00000000419,8,4,8,7,2,3,7,11,10,1,6,6,3,11,1,8,5,5,7,9,10
ENSG00000000457,20,24,67,52,87,72,91,48,66,98,162,66,40,109,30,49,158,132,43,49,102
ENSG00000000460,75,134,124,102,97,86,138,104,95,115,189,116,62,149,28,99,95,110,102,83,150
ENSG00000000938,0,0,0,0,0,0,1,3,1,0,0,5,0,1,0,0,0,1,0,0,0
ENSG00000000971,1,0,0,0,0,0,1,0,0,1,19,6,0,0,0,0,0,0,0,0,0
ENSG00000001036,27,21,32,10,23,7,19,6,12,21,4,38,9,19,3,32,27,20,11,21,53
ENSG00000001084,1,2,0,0,2,0,3,3,1,5,1,9,2,2,0,0,0,2,4,7,6
ENSG00000001167,0,3,3,0,2,0,0,0,1,0,1,6,0,2,0,1,0,0,0,0,2
ENSG00000001460,82,89,131,69,213,65,78,85,72,65,21,142,34,105,7,42,22,30,65,100,264
ENSG00000001461,1,2,1,1,5,1,1,2,1,1,0,10,0,2,0,1,0,0,0,1,5
ENSG00000001497,2,3,4,3,5,2,3,6,5,2,9,19,5,13,1,6,8,12,5,8,1
ENSG00000001561,3,7,15,4,0,0,4,6,3,1,0,10,1,4,0,3,0,8,1,0,4
ENSG00000001617,0,7,2,10,0,3,2,0,3,0,3,10,3,2,0,1,1,3,1,1,0
ENSG00000001626,13,10,12,82,64,18,55,39,78,19,4,13,7,91,5,23,37,77,71,77,8
ENSG00000001629,5,8,3,2,8,1,4,3,3,4,4,11,2,7,1,1,6,6,8,6,7
ENSG00000001630,2,1,7,3,1,1,1,2,2,2,3,8,0,4,1,1,4,6,0,3,16
ENSG00000001631,20,54,54,34,39,23,46,44,44,39,23,34,11,43,8,12,51,33,40,38,47
ENSG00000002016,4,2,15,27,11,6,18,8,24,27,225,12,16,25,9,21,22,20,7,6,12
ENSG00000002079,7,8,36,10,8,5,6,9,14,7,5,10,7,3,16,14,21,17,3,5,3
ENSG00000002330,10,8,6,8,8,7,10,5,7,12,4,20,7,4,1,5,12,11,10,6,33
ENSG00000002549,2,3,4,4,11,2,4,1,1,3,3,8,2,2,1,2,15,7,3,4,5
ENSG00000002586,0,1,0,0,9,5,2,7,4,2,10,7,0,2,9,0,1,16,5,3,1
ENSG00000002587,14,13,0,7,14,33,15,8,19,13,1,12,8,24,2,10,4,12,29,25,19
ENSG00000002726,0,0,0,2,0,7,1,3,9,0,15,5,1,4,1,0,1,12,3,7,0
ENSG00000002745,6,1,10,2,0,3,3,0,1,2,10,4,2,7,0,3,3,0,2,3,5
ENSG00000002746,14,16,6,6,0,3,3,13,12,0,4,25,3,8,0,4,2,2,9,12,9
ENSG00000002822,0,0,0,0,3,0,0,2,3,0,0,3,0,0,0,0,0,2,3,2,0
ENSG00000002834,5,12,5,0,3,0,2,3,0,2,4,5,2,1,0,2,3,2,1,1,1
ENSG00000002919,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1
ENSG00000002933,1,1,0,2,4,16,7,5,8,1,10,5,2,11,3,7,2,10,2,8,0
ENSG00000003056,113,252,418,261,135,139,291,289,258,187,211,263,108,294,45,130,352,160,214,202,305
ENSG00000003096,0,0,2,0,0,1,1,1,1,0,1,2,0,0,0,0,1,2,1,0,0
ENSG00000003137,4,3,4,0,2,0,2,1,0,10,0,11,1,1,2,0,0,1,1,2,30
ENSG00000003147,11,21,3,5,3,3,5,7,8,3,5,7,4,8,0,2,17,19,3,5,30
ENSG00000003249,14,12,14,27,10,17,15,16,25,10,9,12,10,18,5,14,14,13,14,13,22
ENSG00000003393,1,1,4,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,6
ENSG00000003400,1,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,1,0,0,1
ENSG00000003402,6,1,9,6,9,11,11,13,11,10,9,22,3,7,5,7,7,14,8,5,20
ENSG00000003436,2,1,3,2,1,1,100,0,2,2,6,21,3,8,2,4,69,12,0,3,0
ENSG00000003509,64,45,68,97,97,87,196,165,108,81,183,77,79,194,14,88,200,183,127,108,39
ENSG00000003756,0,0,2,0,4,0,2,3,1,3,3,7,1,1,0,1,4,4,1,1,5
ENSG00000003987,155,218,317,193,161,124,253,258,205,168,665,298,82,302,46,270,172,174,191,198,408
ENSG00000003989,1,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,1,0
ENSG00000004059,2,1,0,0,0,0,0,1,2,1,1,1,1,2,1,0,2,2,0,1,3
ENSG00000004139,262,344,639,509,544,300,638,709,502,682,218,681,182,455,82,268,156,331,506,672,1056
ENSG00000004142,84,152,122,89,66,81,70,101,66,63,152,86,50,98,16,59,128,103,100,52,97
ENSG00000004399,8,5,0,3,4,1,5,2,0,5,0,22,1,3,0,0,2,3,3,0,0
ENSG00000004455,0,1,3,0,1,0,0,2,1,3,1,5,2,2,0,1,4,0,0,1,0
ENSG00000004468,1,0,2,5,3,0,4,1,4,0,0,9,0,0,0,0,0,4,0,0,0
ENSG00000004478,21,27,90,43,39,10,49,19,41,67,58,35,22,38,35,30,73,25,26,29,87
ENSG00000004487,108,78,121,129,57,69,110,144,76,84,154,109,56,104,18,91,117,97,98,94,62
ENSG00000004534,6,5,7,3,3,0,6,3,3,7,6,7,5,6,0,4,14,5,6,4,15
ENSG00000004660,7,3,4,7,1,0,4,1,2,5,0,8,0,1,0,1,1,1,0,2,6
ENSG00000004700,83,100,108,89,169,76,127,140,99,103,55,162,46,151,6,100,31,36,124,97,160
ENSG00000004766,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3
ENSG00000004776,7,3,14,10,1,0,5,1,7,4,4,16,10,9,7,2,8,13,0,2,15
ENSG00000004777,12,32,10,6,3,3,4,2,34,0,0,19,0,7,1,3,0,9,4,18,11
ENSG00000004779,1,1,8,2,0,1,6,0,1,5,7,1,1,1,0,0,3,2,0,0,0
ENSG00000004799,1,1,0,6,8,3,5,5,7,2,2,3,2,7,0,6,2,8,5,9,3
ENSG00000004809,0,0,1,1,2,0,0,2,0,0,0,5,0,0,1,0,1,1,0,1,0
ENSG00000004838,2,0,2,3,4,4,1,1,1,2,0,7,3,0,0,1,1,1,0,2,3
ENSG00000004846,0,0,0,9,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0
ENSG00000004848,0,3,0,2,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
ENSG00000004864,5,5,16,0,2,1,8,4,3,8,2,25,0,2,0,6,3,11,1,5,73
ENSG00000004866,2,2,13,11,6,5,12,9,4,8,3,21,1,8,1,2,9,28,1,8,8
ENSG00000004897,1,3,0,0,2,2,1,3,0,1,1,6,2,2,2,4,4,1,2,2,4
ENSG00000004939,1,2,0,0,0,0,0,0,2,0,0,8,1,1,0,0,0,3,0,1,0
ENSG00000004948,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0
ENSG00000004961,1,1,0,0,0,1,0,2,0,0,1,0,1,2,0,0,0,0,0,1,1
ENSG00000004975,3,3,4,4,7,2,1,5,2,1,2,8,3,1,2,2,9,11,2,1,7
ENSG00000005001,0,0,4,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
ENSG00000005007,6,12,4,14,6,7,4,6,2,19,9,8,7,9,5,8,5,20,6,10,6
ENSG00000005020,0,0,2,1,2,4,0,0,1,0,1,11,0,0,1,0,0,0,0,0,2
ENSG00000005022,1,2,2,3,3,0,3,0,1,0,1,5,2,2,2,1,0,3,2,1,2
ENSG00000005059,4,10,30,6,7,4,27,8,15,19,17,12,8,16,4,25,48,18,9,9,4
ENSG00000005073,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
ENSG00000005075,15,22,23,13,15,5,7,16,14,7,16,28,3,18,4,12,19,27,11,17,31
ENSG00000005100,4,4,4,3,1,0,7,0,0,0,0,4,0,2,0,3,8,2,2,0,6
ENSG00000005102,4,3,3,3,2,0,3,1,3,3,2,7,1,3,1,1,2,8,3,0,2
ENSG00000005108,5,6,12,14,1,0,38,13,6,66,3,10,4,10,4,14,3,6,7,3,4
ENSG00000005156,81,131,143,191,646,183,172,289,175,143,28,163,74,307,72,142,613,234,240,177,101
ENSG00000005175,0,0,1,2,1,0,1,0,0,1,0,2,0,1,0,1,1,0,0,0,2
ENSG00000005187,26,50,51,58,76,25,72,94,44,39,51,60,30,81,10,49,95,98,51,42,31
ENSG00000005189,16,12,18,7,8,1,11,7,7,10,14,25,5,13,1,8,23,7,8,5,13
ENSG00000005194,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,1,0,0,0,0,1
ENSG00000005206,0,0,0,0,1,0,1,0,0,2,4,2,0,0,0,0,0,1,0,1,2
ENSG00000005238,2,2,8,2,0,0,1,1,0,1,6,5,1,1,3,2,0,4,2,0,7
ENSG00000005243,0,0,2,0,0,0,0,0,1,1,0,6,1,1,0,0,0,1,0,0,0
ENSG00000005249,3,8,8,2,0,0,6,3,0,3,2,5,0,2,2,0,1,1,1,1,4
ENSG00000005302,0,0,2,0,1,0,0,0,1,0,1,7,1,0,0,1,2,2,1,0,3
ENSG00000005339,24,17,21,7,7,4,19,5,12,10,24,19,8,8,7,7,28,17,9,8,21
ENSG00000005379,11,23,39,8,8,2,17,10,7,13,1,27,7,10,2,1,3,14,1,1,48
ENSG00000005381,1,1,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0
ENSG00000005421,5,3,7,17,12,5,24,8,13,23,26,17,1,9,4,10,26,7,5,7,21
ENSG00000005436,308,312,324,389,414,284,477,601,387,308,252,582,99,532,28,284,202,263,545,490,314
ENSG00000005448,7,3,19,89,99,20,58,65,106,32,107,23,19,118,20,12,31,185,67,66,24
ENSG00000005469,5,0,7,4,0,2,5,4,1,3,0,5,2,2,4,4,4,10,2,0,0
ENSG00000005471,7,16,10,5,4,2,10,5,3,14,3,11,0,7,0,12,2,7,1,1,5
ENSG00000005483,708,616,754,557,673,259,583,590,600,360,216,980,99,548,104,444,212,534,249,504,944
ENSG00000005486,1,4,1,0,0,0,0,1,0,3,2,4,1,0,0,0,3,0,0,0,0
ENSG00000005513,8,4,2,21,24,8,19,27,25,0,1,4,0,15,3,5,22,35,8,23,6
ENSG00000005700,0,0,1,0,1,0,2,0,1,0,0,4,0,0,0,2,2,0,1,0,1
ENSG00000005801,0,1,1,0,0,0,0,0,0,1,0,11,1,0,0,0,0,1,0,0,3
ENSG00000005810,19,19,15,10,26,6,21,18,17,19,9,35,3,26,5,9,7,34,11,18,27
ENSG00000005812,168,240,250,380,576,428,569,655,403,383,462,428,277,642,84,441,236,425,449,482,431
ENSG00000005844,1,0,8,0,0,1,17,3,4,7,8,29,27,2,0,1,0,18,1,1,22
ENSG00000005882,134,273,518,72,43,36,86,69,68,87,335,251,52,72,13,43,113,118,83,80,522
ENSG00000005884,3,2,1,5,1,13,4,7,7,9,6,12,2,10,1,0,7,3,11,1,3
ENSG00000005889,0,1,4,3,1,0,4,0,3,0,4,13,0,0,0,1,2,2,1,1,6
ENSG00000005893,0,1,0,0,10,0,1,4,1,1,2,3,0,3,0,1,5,0,2,0,1
ENSG00000005961,0,2,7,1,0,0,0,0,1,0,0,6,0,1,0,0,0,2,0,1,5
ENSG00000005981,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0
ENSG00000006007,0,3,0,18,1,2,2,2,1,4,3,2,0,1,1,0,2,0,0,0,1
ENSG00000006015,41,20,11,50,7,2,8,3,7,14,9,9,9,1,3,5,1,7,2,3,22
ENSG00000006016,47,60,61,50,35,40,51,41,43,39,125,68,30,33,10,32,76,43,30,26,93
ENSG00000006025,1,0,0,0,1,0,1,1,1,0,0,9,0,2,1,0,0,1,1,0,1
ENSG00000006042,1,0,8,0,2,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,1
ENSG00000006047,1,2,0,8,0,0,1,0,1,0,9,6,0,3,0,2,0,2,0,0,0
ENSG00000006059,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000006062,8,28,20,4,2,0,1,6,5,2,3,13,1,2,1,5,9,5,1,8,9
ENSG00000006071,4,11,8,0,1,1,1,1,3,0,0,19,1,3,0,1,0,1,1,1,10
ENSG00000006116,2,1,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0
ENSG00000006118,29,16,16,34,33,24,43,58,23,28,8,27,20,39,5,28,18,23,24,43,26
ENSG00000006125,30,35,36,38,40,34,50,62,47,47,15,50,11,57,4,17,54,22,51,39,35
ENSG00000006128,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006194,166,259,190,313,216,216,311,455,298,224,274,307,120,328,48,205,275,290,271,220,379
ENSG00000006210,1,3,0,0,3,0,2,1,0,3,0,5,0,2,0,0,1,1,0,1,0
ENSG00000006282,25,6,13,6,0,3,1,3,0,0,11,11,1,4,0,3,1,0,1,4,4
ENSG00000006283,15,6,19,1,0,3,0,2,5,1,7,3,2,1,0,1,5,6,7,3,4
ENSG00000006327,1,2,6,1,1,1,4,4,2,1,3,10,0,0,1,0,2,2,2,0,7
ENSG00000006377,4,1,0,1,1,0,0,0,0,0,5,0,0,0,7,1,1,0,0,0,0
ENSG00000006432,9,6,14,1,1,1,1,2,0,9,0,17,3,0,2,1,9,0,4,1,7
ENSG00000006451,0,3,2,1,2,0,1,0,0,1,1,4,1,1,0,0,1,0,1,0,0
ENSG00000006453,24,10,38,49,19,30,35,34,49,37,50,50,31,36,15,49,41,49,46,42,18
ENSG00000006459,1,2,0,1,0,0,1,1,1,2,0,8,1,1,0,1,0,0,2,1,2
ENSG00000006468,2,0,1,1,0,3,2,3,0,0,2,15,1,4,0,0,17,7,0,0,61
ENSG00000006530,75,75,394,172,129,64,162,91,136,183,18,158,42,134,35,90,112,113,65,100,356
ENSG00000006534,8,6,11,9,0,0,9,4,1,9,7,12,5,6,4,6,10,11,5,0,9
ENSG00000006555,1,1,1,0,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0
ENSG00000006576,0,8,6,4,4,0,5,3,3,2,2,10,0,6,0,3,2,6,0,4,4
ENSG00000006606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006607,122,65,83,73,42,19,43,43,75,39,78,68,33,52,10,29,120,87,39,35,111
ENSG00000006611,11,8,2,0,3,0,3,0,2,3,0,9,0,0,0,1,0,0,1,1,1
ENSG00000006625,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000006634,12,31,29,23,21,13,19,19,26,13,12,19,6,18,4,16,27,24,13,37,43
ENSG00000006638,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0
ENSG00000006652,3,8,3,6,4,3,9,3,7,13,7,12,2,11,2,5,15,8,4,12,10
ENSG00000006659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000006695,0,3,0,0,0,0,0,0,0,1,0,6,0,1,2,0,2,0,0,1,1
ENSG00000006704,0,0,1,1,1,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0
ENSG00000006712,70,51,63,69,78,32,56,74,70,82,80,47,49,82,12,40,68,112,77,43,52
ENSG00000006715,3,4,0,0,1,0,0,0,0,0,1,10,0,0,0,2,4,0,0,0,1
ENSG00000006740,18,10,32,20,25,7,13,13,7,13,10,27,7,21,11,15,13,27,22,13,70
ENSG00000006744,9,15,29,7,1,3,0,1,8,7,4,29,2,4,0,7,2,2,3,0,42
ENSG00000006747,0,0,0,0,1,0,1,0,0,0,0,8,0,2,0,0,0,1,0,1,2
ENSG00000006756,3,6,25,19,7,0,5,5,21,3,5,12,6,11,7,3,0,57,4,5,2
ENSG00000006757,0,3,0,2,0,1,1,3,1,0,7,5,0,4,0,7,0,1,2,1,2
ENSG00000006788,1,0,0,0,0,1,1,0,0,1,3,8,0,0,0,2,0,0,1,1,0
ENSG00000006831,0,1,0,1,3,1,0,3,0,1,0,7,0,2,0,0,1,0,2,0,1
ENSG00000006837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000007001,18,75,24,14,13,3,33,26,22,36,3,23,16,24,2,16,2,17,13,20,12
ENSG00000007038,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000007047,9,8,4,2,0,1,0,0,0,5,0,7,2,1,1,1,3,7,4,1,7
ENSG00000007062,0,1,0,1,0,0,1,0,0,0,4,11,1,1,3,0,0,1,0,0,0
ENSG00000007080,10,10,4,3,2,5,1,10,3,3,2,4,2,6,1,3,2,5,3,3,5
ENSG00000007129,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000007168,22,17,18,8,9,6,10,7,11,6,19,12,7,8,4,4,7,16,4,4,31
ENSG00000007171,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ENSG00000007174,5,10,12,7,7,1,11,5,6,19,5,32,8,7,2,8,4,21,4,3,8
ENSG00000007202,3,11,4,4,5,0,4,16,3,6,4,17,4,7,0,0,7,13,4,3,1
ENSG00000007216,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
ENSG00000007237,21,15,3,3,12,1,2,3,0,3,1,12,0,3,0,2,2,5,6,2,35
ENSG00000007255,4,6,2,4,3,1,4,0,1,5,0,2,1,1,1,0,3,11,1,0,4
ENSG00000007264,7,6,0,0,0,0,0,1,0,0,1,14,1,1,0,0,0,0,0,0,0
ENSG00000007306,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ENSG00000007312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ENSG00000007314,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
ENSG00000007341,65,66,56,66,57,100,137,182,427,129,130,65,72,249,10,89,65,65,86,110,73
ENSG00000007350,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,1,3,0,0,0
ENSG00000007372,175,120,370,375,196,215,361,401,206,164,20,538,72,311,23,111,155,207,136,196,1076
ENSG00000007376,0,1,0,1,1,1,1,0,2,0,1,8,1,3,0,1,0,0,1,0,0
ENSG00000007384,54,4,14,17,26,3,6,7,4,1,10,9,9,4,2,5,7,12,3,2,20
ENSG00000007392,3,2,4,0,0,2,1,1,1,1,4,6,0,1,0,0,3,2,1,0,8
ENSG00000007402,34,46,17,14,14,4,22,10,22,28,15,28,5,13,10,11,34,19,8,8,37
ENSG00000007516,154,158,121,112,205,97,160,169,104,82,124,127,70,117,19,63,195,172,115,103,169
ENSG00000007520,67,27,4,38,61,33,56,50,19,5,209,0,5,36,5,20,31,23,24,9,7
ENSG00000007541,13,2,2,6,0,0,2,1,0,0,0,6,2,0,1,3,3,1,1,0,10
ENSG00000007545,3,4,5,4,2,0,0,3,1,0,4,1,4,0,6,1,1,6,1,0,5
ENSG00000007866,4,6,4,9,5,2,3,3,7,1,18,13,11,6,8,1,7,12,3,4,6
ENSG00000007908,1,2,0,3,5,1,0,0,0,1,2,7,0,2,0,1,0,2,1,1,0
ENSG00000007923,57,43,67,29,20,16,18,21,31,23,10,47,11,16,8,13,41,23,15,23,86
ENSG00000007933,2,3,3,50,3,4,28,45,169,8,35,8,1,240,0,5,1,13,180,136,0
ENSG00000007944,0,2,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
ENSG00000007952,9,2,17,16,12,7,14,21,10,9,12,13,7,14,0,16,33,15,14,12,11
ENSG00000007968,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,2,7,0,0,0
ENSG00000008018,0,1,1,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,1,0,1
ENSG00000008056,59,32,17,20,10,10,9,13,15,10,14,15,5,16,6,15,6,12,19,11,22
ENSG00000008083,8,6,8,22,10,4,20,10,14,9,29,14,12,16,11,8,11,49,11,8,12
ENSG00000008086,7,11,2,0,1,0,0,1,2,3,3,24,1,4,2,1,3,0,2,1,3
ENSG00000008118,2,2,0,0,0,0,0,0,1,0,0,5,1,2,0,2,2,0,0,0,1
ENSG00000008128,0,1,1,0,0,1,1,0,1,5,5,1,1,0,0,0,0,1,0,1,0
ENSG00000008130,5,6,4,5,7,2,4,8,6,5,25,5,5,3,2,2,6,14,5,3,7
ENSG00000008196,0,0,1,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
ENSG00000008226,188,196,167,195,275,140,297,393,227,165,109,251,120,280,66,146,166,297,273,291,235
ENSG00000008256,6,6,5,9,6,4,8,6,12,5,11,8,15,5,8,4,7,8,8,2,13
ENSG00000008277,91,52,89,86,55,86,100,70,99,59,26,156,26,91,32,73,161,91,50,71,161
ENSG00000008282,0,0,3,0,0,0,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0
ENSG00000008283,11,5,3,25,8,10,19,4,21,9,11,3,14,21,10,10,15,17,8,9,7
ENSG00000008294,2,4,17,2,1,0,3,2,1,4,12,20,0,6,1,4,14,3,3,2,9
ENSG00000008300,1,6,7,5,0,4,2,5,5,5,7,27,0,2,4,5,7,4,0,2,9
ENSG00000008311,0,0,0,4,1,2,8,7,12,4,0,4,0,9,3,6,4,15,5,18,0
ENSG00000008323,11,0,3,17,2,10,10,23,30,18,36,21,36,50,9,19,14,20,18,12,2
ENSG00000008324,42,53,43,45,82,37,52,66,40,54,19,46,25,50,4,21,74,40,65,39,87
ENSG00000008382,20,2,13,18,9,3,25,11,14,46,45,16,17,6,15,12,14,31,5,14,16
ENSG00000008394,8,4,3,8,4,1,17,7,2,9,0,8,0,1,0,4,0,0,3,6,4
ENSG00000008405,2,0,0,0,0,0,1,1,1,1,20,8,1,2,0,0,2,0,0,0,2
ENSG00000008438,21,8,30,14,4,1,8,2,8,5,4,31,3,8,4,6,9,14,3,3,17
ENSG00000008441,9,10,21,10,20,8,21,5,7,29,15,27,8,7,6,3,12,8,8,8,38
ENSG00000008513,3,5,1,0,1,1,0,0,0,1,8,8,2,2,0,1,1,1,1,1,2
ENSG00000008516,27,24,57,72,25,13,33,23,55,37,38,41,32,27,12,39,44,39,35,46,77
ENSG00000008517,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,0,0,2,1,2
ENSG00000008710,14,13,35,9,12,6,12,10,13,21,20,34,9,10,10,6,11,18,8,7,84
ENSG00000008735,17,12,5,0,4,2,3,0,2,0,0,9,3,0,0,3,3,3,0,1,17
ENSG00000008838,1,2,2,0,1,0,1,2,1,0,0,16,1,0,0,2,4,2,0,0,3
ENSG00000008853,29,25,27,48,14,58,99,120,78,172,184,100,42,53,8,70,205,59,92,73,62
ENSG00000008869,1,2,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,0,0,1,0
ENSG00000008952,23,38,13,14,35,19,39,19,23,14,11,27,14,27,6,19,36,17,13,11,34
ENSG00000008988,1,6,3,1,1,0,4,0,4,3,13,3,2,4,0,2,3,3,0,2,3
ENSG00000009307,2,10,4,2,6,4,5,6,3,2,5,8,0,7,2,3,5,4,1,2,6
ENSG00000009335,2,2,1,0,0,0,1,0,1,0,0,5,0,0,0,0,1,1,1,0,0
ENSG00000009413,59,80,97,91,38,39,169,85,117,205,101,94,54,161,15,122,161,85,101,132,92
ENSG00000009694,0,3,8,0,1,0,6,2,3,13,6,17,4,4,0,6,2,3,7,8,6
ENSG00000009709,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
ENSG00000009724,123,80,263,120,73,54,127,76,105,104,220,362,35,130,9,80,151,124,97,72,604
ENSG00000009765,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
ENSG00000009780,0,0,0,0,1,0,1,0,0,0,1,3,0,1,0,1,0,1,0,0,0
ENSG00000009790,26,56,72,71,41,35,55,37,40,30,49,117,18,51,16,37,49,59,33,40,96
ENSG00000009830,8,3,4,4,9,4,3,7,4,4,2,6,0,8,1,2,8,5,2,1,12
ENSG00000009844,0,0,0,0,1,0,1,1,0,1,0,5,0,2,0,0,0,0,0,0,0
ENSG00000009950,3,0,0,0,1,1,0,0,0,0,3,7,0,2,0,1,1,0,0,0,1
ENSG00000009954,5,5,14,7,2,2,5,6,11,5,4,9,2,6,4,8,14,4,2,7,12
ENSG00000010017,71,57,99,92,116,56,83,135,93,34,54,127,41,109,11,75,96,82,103,99,130
ENSG00000010030,1,0,0,0,0,0,0,0,2,0,16,6,2,0,0,0,0,0,1,1,0
ENSG00000010072,113,210,148,94,111,66,108,117,108,76,200,172,47,147,20,80,94,127,133,82,241
ENSG00000010165,0,0,0,1,0,0,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0
ENSG00000010219,3,1,4,3,17,2,3,6,3,3,3,12,0,2,0,1,10,4,1,4,5
ENSG00000010244,1,3,3,2,3,0,1,1,0,0,0,4,0,3,0,0,1,0,2,0,2
ENSG00000010256,1,3,3,1,0,2,0,1,3,0,0,5,1,0,0,0,7,2,2,1,2
ENSG00000010270,1,1,0,1,0,0,2,2,2,1,1,6,0,2,0,3,1,1,1,2,2
ENSG00000010278,1,3,7,6,18,3,5,9,4,4,1,17,1,8,1,1,3,5,1,5,1
ENSG00000010282,1,0,2,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0
ENSG00000010292,32,22,40,28,39,25,64,39,40,31,67,27,26,32,25,30,130,41,33,35,31
ENSG00000010295,6,1,4,3,2,8,1,7,11,6,7,6,2,2,0,2,6,3,3,1,8
ENSG00000010310,1,0,1,1,1,0,1,0,0,1,2,7,3,2,0,1,2,3,0,0,0
ENSG00000010318,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,5
ENSG00000010319,0,2,0,1,0,0,1,1,0,0,0,5,0,0,0,1,0,3,0,0,5
ENSG00000010322,6,5,7,0,4,1,5,3,1,4,4,8,2,0,1,3,5,9,4,1,55
ENSG00000010327,18,102,89,21,17,21,70,17,16,56,72,49,58,27,7,23,122,67,38,24,85
ENSG00000010361,155,182,175,138,97,63,128,108,101,126,100,107,36,100,12,65,107,75,86,90,192
ENSG00000010379,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
ENSG00000010404,2,3,7,2,5,2,5,1,3,5,4,3,1,2,1,2,0,8,1,2,3
ENSG00000010438,2,5,7,1,1,1,5,2,2,1,2,7,1,5,1,0,2,2,1,0,2
ENSG00000010539,9,12,16,0,0,0,0,0,1,1,1,12,0,0,0,4,0,0,1,1,29
ENSG00000010610,9,6,47,3,3,1,3,4,11,6,49,19,2,4,3,6,25,2,12,5,52
ENSG00000010626,0,2,2,0,0,1,3,1,1,1,0,8,2,1,4,1,2,1,0,1,9
ENSG00000010671,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
ENSG00000010704,0,1,1,0,8,1,6,2,0,3,80,9,3,5,2,4,29,12,1,2,1
ENSG00000010803,8,6,8,6,3,2,4,4,0,16,31,8,8,2,5,7,10,10,9,10,5
ENSG00000010810,8,9,12,10,26,12,27,50,18,19,0,64,4,16,1,5,5,26,8,29,17
